Date,Currency,Exchange
07-02-2015,EUR,0.8736
07-02-2015,GBP,0.6528
08-02-2015,USD,1.0
08-02-2015,CAD,1.2445
08-02-2015,AUD,1.273
08-02-2015,EUR,0.8736
08-02-2015,GBP,0.6528
09-02-2015,USD,1.0
09-02-2015,CAD,1.25
09-02-2015,AUD,1.2798
09-02-2015,EUR,0.8869
09-02-2015,GBP,0.6576
10-02-2015,USD,1.0
10-02-2015,CAD,1.2471
10-02-2015,AUD,1.2855
10-02-2015,EUR,0.8852
10-02-2015,GBP,0.6568
11-02-2015,USD,1.0
11-02-2015,CAD,1.2611
11-02-2015,AUD,1.291
11-02-2015,EUR,0.8839
11-02-2015,GBP,0.6537
12-02-2015,USD,1.0
12-02-2015,CAD,1.256
12-02-2015,AUD,1.3031
12-02-2015,EUR,0.8828
12-02-2015,GBP,0.6511
13-02-2015,USD,1.0
13-02-2015,CAD,1.2508
13-02-2015,AUD,1.2907
13-02-2015,EUR,0.8787
13-02-2015,GBP,0.6503
14-02-2015,USD,1.0
14-02-2015,CAD,1.2508
14-02-2015,AUD,1.2907
14-02-2015,EUR,0.8787
14-02-2015,GBP,0.6503
15-02-2015,USD,1.0
15-02-2015,CAD,1.2508
15-02-2015,AUD,1.2907
15-02-2015,EUR,0.8787
15-02-2015,GBP,0.6503
16-02-2015,USD,1.0
16-02-2015,CAD,1.2453
16-02-2015,AUD,1.2859
16-02-2015,EUR,0.8766
16-02-2015,GBP,0.6505
17-02-2015,USD,1.0
17-02-2015,CAD,1.2374
17-02-2015,AUD,1.2784
17-02-2015,EUR,0.876
17-02-2015,GBP,0.6512
18-02-2015,USD,1.0
18-02-2015,CAD,1.245
18-02-2015,AUD,1.2837
18-02-2015,EUR,0.8794
18-02-2015,GBP,0.6483
19-02-2015,USD,1.0
19-02-2015,CAD,1.252
19-02-2015,AUD,1.285
19-02-2015,EUR,0.8782
19-02-2015,GBP,0.648
20-02-2015,USD,1.0
20-02-2015,CAD,1.2456
20-02-2015,AUD,1.2745
20-02-2015,EUR,0.8851
20-02-2015,GBP,0.6504
21-02-2015,USD,1.0
21-02-2015,CAD,1.2456
21-02-2015,AUD,1.2745
21-02-2015,EUR,0.8851
21-02-2015,GBP,0.6504
22-02-2015,USD,1.0
22-02-2015,CAD,1.2456
22-02-2015,AUD,1.2745
22-02-2015,EUR,0.8851
22-02-2015,GBP,0.6504
23-02-2015,USD,1.0
23-02-2015,CAD,1.2618
23-02-2015,AUD,1.2843
23-02-2015,EUR,0.8851
23-02-2015,GBP,0.6507
24-02-2015,USD,1.0
24-02-2015,CAD,1.2643
24-02-2015,AUD,1.2896
24-02-2015,EUR,0.8828
24-02-2015,GBP,0.6483
25-02-2015,USD,1.0
25-02-2015,CAD,1.2441
25-02-2015,AUD,1.2681
25-02-2015,EUR,0.8814
25-02-2015,GBP,0.6459
26-02-2015,USD,1.0
26-02-2015,CAD,1.247
26-02-2015,AUD,1.2686
26-02-2015,EUR,0.8836
26-02-2015,GBP,0.6451
27-02-2015,USD,1.0
27-02-2015,CAD,1.2451
27-02-2015,AUD,1.2774
27-02-2015,EUR,0.8897
27-02-2015,GBP,0.6475
28-02-2015,USD,1.0
28-02-2015,CAD,1.2451
28-02-2015,AUD,1.2774
28-02-2015,EUR,0.8897
28-02-2015,GBP,0.6475
01-03-2015,USD,1.0
01-03-2015,CAD,1.2451
01-03-2015,AUD,1.2774
01-03-2015,EUR,0.8897
01-03-2015,GBP,0.6475
02-03-2015,USD,1.0
02-03-2015,CAD,1.2492
02-03-2015,AUD,1.2856
02-03-2015,EUR,0.8907
02-03-2015,GBP,0.6497
03-03-2015,USD,1.0
03-03-2015,CAD,1.2519
03-03-2015,AUD,1.2794
03-03-2015,EUR,0.8954
03-03-2015,GBP,0.6515
04-03-2015,USD,1.0
04-03-2015,CAD,1.2515
04-03-2015,AUD,1.2757
04-03-2015,EUR,0.899
04-03-2015,GBP,0.6526
05-03-2015,USD,1.0
05-03-2015,CAD,1.244
05-03-2015,AUD,1.2833
05-03-2015,EUR,0.9034
05-03-2015,GBP,0.6551
06-03-2015,USD,1.0
06-03-2015,CAD,1.2466
06-03-2015,AUD,1.2761
06-03-2015,EUR,0.9122
06-03-2015,GBP,0.6586
07-03-2015,USD,1.0
07-03-2015,CAD,1.2466
07-03-2015,AUD,1.2761
07-03-2015,EUR,0.9122
07-03-2015,GBP,0.6586
08-03-2015,USD,1.0
08-03-2015,CAD,1.2466
08-03-2015,AUD,1.2761
08-03-2015,EUR,0.9122
08-03-2015,GBP,0.6586
09-03-2015,USD,1.0
09-03-2015,CAD,1.2591
09-03-2015,AUD,1.2931
09-03-2015,EUR,0.9208
09-03-2015,GBP,0.6617
10-03-2015,USD,1.0
10-03-2015,CAD,1.2634
10-03-2015,AUD,1.3069
10-03-2015,EUR,0.9313
10-03-2015,GBP,0.6638
11-03-2015,USD,1.0
11-03-2015,CAD,1.2698
11-03-2015,AUD,1.314
11-03-2015,EUR,0.9454
11-03-2015,GBP,0.6651
12-03-2015,USD,1.0
12-03-2015,CAD,1.2656
12-03-2015,AUD,1.2976
12-03-2015,EUR,0.9422
12-03-2015,GBP,0.6681
13-03-2015,USD,1.0
13-03-2015,CAD,1.2734
13-03-2015,AUD,1.3053
13-03-2015,EUR,0.9459
13-03-2015,GBP,0.6766
14-03-2015,USD,1.0
14-03-2015,CAD,1.2734
14-03-2015,AUD,1.3053
14-03-2015,EUR,0.9459
14-03-2015,GBP,0.6766
15-03-2015,USD,1.0
15-03-2015,CAD,1.2734
15-03-2015,AUD,1.3053
15-03-2015,EUR,0.9459
15-03-2015,GBP,0.6766
16-03-2015,USD,1.0
16-03-2015,CAD,1.2781
16-03-2015,AUD,1.3069
16-03-2015,EUR,0.9472
16-03-2015,GBP,0.6755
17-03-2015,USD,1.0
17-03-2015,CAD,1.2774
17-03-2015,AUD,1.3083
17-03-2015,EUR,0.9403
17-03-2015,GBP,0.677
18-03-2015,USD,1.0
18-03-2015,CAD,1.2824
18-03-2015,AUD,1.3124
18-03-2015,EUR,0.9441
18-03-2015,GBP,0.6826
19-03-2015,USD,1.0
19-03-2015,CAD,1.2717
19-03-2015,AUD,1.308
19-03-2015,EUR,0.9366
19-03-2015,GBP,0.6728
20-03-2015,USD,1.0
20-03-2015,CAD,1.2672
20-03-2015,AUD,1.2981
20-03-2015,EUR,0.928
20-03-2015,GBP,0.6733
21-03-2015,USD,1.0
21-03-2015,CAD,1.2672
21-03-2015,AUD,1.2981
21-03-2015,EUR,0.928
21-03-2015,GBP,0.6733
22-03-2015,USD,1.0
22-03-2015,CAD,1.2672
22-03-2015,AUD,1.2981
22-03-2015,EUR,0.928
22-03-2015,GBP,0.6733
23-03-2015,USD,1.0
23-03-2015,CAD,1.2525
23-03-2015,AUD,1.2773
23-03-2015,EUR,0.9164
23-03-2015,GBP,0.6706
24-03-2015,USD,1.0
24-03-2015,CAD,1.2465
24-03-2015,AUD,1.2642
24-03-2015,EUR,0.9132
24-03-2015,GBP,0.6707
25-03-2015,USD,1.0
25-03-2015,CAD,1.2482
25-03-2015,AUD,1.2676
25-03-2015,EUR,0.9103
25-03-2015,GBP,0.6705
26-03-2015,USD,1.0
26-03-2015,CAD,1.2442
26-03-2015,AUD,1.2749
26-03-2015,EUR,0.9113
26-03-2015,GBP,0.6717
27-03-2015,USD,1.0
27-03-2015,CAD,1.2509
27-03-2015,AUD,1.2841
27-03-2015,EUR,0.9211
27-03-2015,GBP,0.6723
28-03-2015,USD,1.0
28-03-2015,CAD,1.2509
28-03-2015,AUD,1.2841
28-03-2015,EUR,0.9211
28-03-2015,GBP,0.6723
29-03-2015,USD,1.0
29-03-2015,CAD,1.2509
29-03-2015,AUD,1.2841
29-03-2015,EUR,0.9211
29-03-2015,GBP,0.6723
30-03-2015,USD,1.0
30-03-2015,CAD,1.2641
30-03-2015,AUD,1.3055
30-03-2015,EUR,0.9221
30-03-2015,GBP,0.6757
31-03-2015,USD,1.0
31-03-2015,CAD,1.2769
31-03-2015,AUD,1.3155
31-03-2015,EUR,0.9295
31-03-2015,GBP,0.676
01-04-2015,USD,1.0
01-04-2015,CAD,1.2675
01-04-2015,AUD,1.3159
01-04-2015,EUR,0.9298
01-04-2015,GBP,0.6774
02-04-2015,USD,1.0
02-04-2015,CAD,1.2644
02-04-2015,AUD,1.3244
02-04-2015,EUR,0.9234
02-04-2015,GBP,0.6755
03-04-2015,USD,1.0
03-04-2015,CAD,1.2644
03-04-2015,AUD,1.3244
03-04-2015,EUR,0.9234
03-04-2015,GBP,0.6755
04-04-2015,USD,1.0
04-04-2015,CAD,1.2644
04-04-2015,AUD,1.3244
04-04-2015,EUR,0.9234
04-04-2015,GBP,0.6755
05-04-2015,USD,1.0
05-04-2015,CAD,1.2644
05-04-2015,AUD,1.3244
05-04-2015,EUR,0.9234
05-04-2015,GBP,0.6755
06-04-2015,USD,1.0
06-04-2015,CAD,1.2644
06-04-2015,AUD,1.3244
06-04-2015,EUR,0.9234
06-04-2015,GBP,0.6755
07-04-2015,USD,1.0
07-04-2015,CAD,1.2504
07-04-2015,AUD,1.3084
07-04-2015,EUR,0.9219
07-04-2015,GBP,0.6717
08-04-2015,USD,1.0
08-04-2015,CAD,1.2417
08-04-2015,AUD,1.2961
08-04-2015,EUR,0.9206
08-04-2015,GBP,0.6688
09-04-2015,USD,1.0
09-04-2015,CAD,1.2524
09-04-2015,AUD,1.2949
09-04-2015,EUR,0.9282
09-04-2015,GBP,0.6746
10-04-2015,USD,1.0
10-04-2015,CAD,1.2664
10-04-2015,AUD,1.3079
10-04-2015,EUR,0.9461
10-04-2015,GBP,0.6853
11-04-2015,USD,1.0
11-04-2015,CAD,1.2664
11-04-2015,AUD,1.3079
11-04-2015,EUR,0.9461
11-04-2015,GBP,0.6853
12-04-2015,USD,1.0
12-04-2015,CAD,1.2664
12-04-2015,AUD,1.3079
12-04-2015,EUR,0.9461
12-04-2015,GBP,0.6853
13-04-2015,USD,1.0
13-04-2015,CAD,1.2627
13-04-2015,AUD,1.3197
13-04-2015,EUR,0.9477
13-04-2015,GBP,0.6838
14-04-2015,USD,1.0
14-04-2015,CAD,1.2582
14-04-2015,AUD,1.3192
14-04-2015,EUR,0.9466
14-04-2015,GBP,0.6832
15-04-2015,USD,1.0
15-04-2015,CAD,1.255
15-04-2015,AUD,1.3182
15-04-2015,EUR,0.9453
15-04-2015,GBP,0.6776
16-04-2015,USD,1.0
16-04-2015,CAD,1.2305
16-04-2015,AUD,1.2875
16-04-2015,EUR,0.9336
16-04-2015,GBP,0.6712
17-04-2015,USD,1.0
17-04-2015,CAD,1.2191
17-04-2015,AUD,1.28
17-04-2015,EUR,0.9247
17-04-2015,GBP,0.6657
18-04-2015,USD,1.0
18-04-2015,CAD,1.2191
18-04-2015,AUD,1.28
18-04-2015,EUR,0.9247
18-04-2015,GBP,0.6657
19-04-2015,USD,1.0
19-04-2015,CAD,1.2191
19-04-2015,AUD,1.28
19-04-2015,EUR,0.9247
19-04-2015,GBP,0.6657
20-04-2015,USD,1.0
20-04-2015,CAD,1.2252
20-04-2015,AUD,1.2891
20-04-2015,EUR,0.9326
20-04-2015,GBP,0.671
21-04-2015,USD,1.0
21-04-2015,CAD,1.2229
21-04-2015,AUD,1.2917
21-04-2015,EUR,0.9346
21-04-2015,GBP,0.6717
22-04-2015,USD,1.0
22-04-2015,CAD,1.2242
22-04-2015,AUD,1.2842
22-04-2015,EUR,0.9308
22-04-2015,GBP,0.6636
23-04-2015,USD,1.0
23-04-2015,CAD,1.2226
23-04-2015,AUD,1.2938
23-04-2015,EUR,0.9283
23-04-2015,GBP,0.6656
24-04-2015,USD,1.0
24-04-2015,CAD,1.2119
24-04-2015,AUD,1.2827
24-04-2015,EUR,0.9239
24-04-2015,GBP,0.6614
25-04-2015,USD,1.0
25-04-2015,CAD,1.2119
25-04-2015,AUD,1.2827
25-04-2015,EUR,0.9239
25-04-2015,GBP,0.6614
26-04-2015,USD,1.0
26-04-2015,CAD,1.2119
26-04-2015,AUD,1.2827
26-04-2015,EUR,0.9239
26-04-2015,GBP,0.6614
27-04-2015,USD,1.0
27-04-2015,CAD,1.2156
27-04-2015,AUD,1.2814
27-04-2015,EUR,0.924
27-04-2015,GBP,0.6618
28-04-2015,USD,1.0
28-04-2015,CAD,1.2069
28-04-2015,AUD,1.2585
28-04-2015,EUR,0.9152
28-04-2015,GBP,0.6543
29-04-2015,USD,1.0
29-04-2015,CAD,1.2054
29-04-2015,AUD,1.2509
29-04-2015,EUR,0.9089
29-04-2015,GBP,0.6509
30-04-2015,USD,1.0
30-04-2015,CAD,1.202
30-04-2015,AUD,1.2627
30-04-2015,EUR,0.8917
30-04-2015,GBP,0.648
01-05-2015,USD,1.0
01-05-2015,CAD,1.202
01-05-2015,AUD,1.2627
01-05-2015,EUR,0.8917
01-05-2015,GBP,0.648
02-05-2015,USD,1.0
02-05-2015,CAD,1.202
02-05-2015,AUD,1.2627
02-05-2015,EUR,0.8917
02-05-2015,GBP,0.648
03-05-2015,USD,1.0
03-05-2015,CAD,1.202
03-05-2015,AUD,1.2627
03-05-2015,EUR,0.8917
03-05-2015,GBP,0.648
04-05-2015,USD,1.0
04-05-2015,CAD,1.2116
04-05-2015,AUD,1.2756
04-05-2015,EUR,0.8967
04-05-2015,GBP,0.6617
05-05-2015,USD,1.0
05-05-2015,CAD,1.209
05-05-2015,AUD,1.27
05-05-2015,EUR,0.8995
05-05-2015,GBP,0.6611
06-05-2015,USD,1.0
06-05-2015,CAD,1.201
06-05-2015,AUD,1.2493
06-05-2015,EUR,0.8905
06-05-2015,GBP,0.6568
07-05-2015,USD,1.0
07-05-2015,CAD,1.207
07-05-2015,AUD,1.2548
07-05-2015,EUR,0.8846
07-05-2015,GBP,0.6568
08-05-2015,USD,1.0
08-05-2015,CAD,1.2103
08-05-2015,AUD,1.2638
08-05-2015,EUR,0.8912
08-05-2015,GBP,0.6488
09-05-2015,USD,1.0
09-05-2015,CAD,1.2103
09-05-2015,AUD,1.2638
09-05-2015,EUR,0.8912
09-05-2015,GBP,0.6488
10-05-2015,USD,1.0
10-05-2015,CAD,1.2103
10-05-2015,AUD,1.2638
10-05-2015,EUR,0.8912
10-05-2015,GBP,0.6488
11-05-2015,USD,1.0
11-05-2015,CAD,1.2114
11-05-2015,AUD,1.267
11-05-2015,EUR,0.8975
11-05-2015,GBP,0.6458
12-05-2015,USD,1.0
12-05-2015,CAD,1.204
12-05-2015,AUD,1.2519
12-05-2015,EUR,0.8898
12-05-2015,GBP,0.6374
13-05-2015,USD,1.0
13-05-2015,CAD,1.1974
13-05-2015,AUD,1.2428
13-05-2015,EUR,0.8912
13-05-2015,GBP,0.6393
14-05-2015,USD,1.0
14-05-2015,CAD,1.1949
14-05-2015,AUD,1.2336
14-05-2015,EUR,0.8757
14-05-2015,GBP,0.6332
15-05-2015,USD,1.0
15-05-2015,CAD,1.2037
15-05-2015,AUD,1.2499
15-05-2015,EUR,0.8828
15-05-2015,GBP,0.6366
16-05-2015,USD,1.0
16-05-2015,CAD,1.2037
16-05-2015,AUD,1.2499
16-05-2015,EUR,0.8828
16-05-2015,GBP,0.6366
17-05-2015,USD,1.0
17-05-2015,CAD,1.2037
17-05-2015,AUD,1.2499
17-05-2015,EUR,0.8828
17-05-2015,GBP,0.6366
18-05-2015,USD,1.0
18-05-2015,CAD,1.2058
18-05-2015,AUD,1.2493
18-05-2015,EUR,0.878
18-05-2015,GBP,0.6383
19-05-2015,USD,1.0
19-05-2015,CAD,1.2181
19-05-2015,AUD,1.2547
19-05-2015,EUR,0.8945
19-05-2015,GBP,0.6457
20-05-2015,USD,1.0
20-05-2015,CAD,1.2213
20-05-2015,AUD,1.2655
20-05-2015,EUR,0.8994
20-05-2015,GBP,0.6437
21-05-2015,USD,1.0
21-05-2015,CAD,1.2216
21-05-2015,AUD,1.2676
21-05-2015,EUR,0.8982
21-05-2015,GBP,0.6377
22-05-2015,USD,1.0
22-05-2015,CAD,1.22
22-05-2015,AUD,1.2686
22-05-2015,EUR,0.8957
22-05-2015,GBP,0.6394
23-05-2015,USD,1.0
23-05-2015,CAD,1.22
23-05-2015,AUD,1.2686
23-05-2015,EUR,0.8957
23-05-2015,GBP,0.6394
24-05-2015,USD,1.0
24-05-2015,CAD,1.22
24-05-2015,AUD,1.2686
24-05-2015,EUR,0.8957
24-05-2015,GBP,0.6394
25-05-2015,USD,1.0
25-05-2015,CAD,1.2294
25-05-2015,AUD,1.2774
25-05-2015,EUR,0.9109
25-05-2015,GBP,0.6467
26-05-2015,USD,1.0
26-05-2015,CAD,1.2374
26-05-2015,AUD,1.2832
26-05-2015,EUR,0.9152
26-05-2015,GBP,0.6495
27-05-2015,USD,1.0
27-05-2015,CAD,1.2456
27-05-2015,AUD,1.297
27-05-2015,EUR,0.9206
27-05-2015,GBP,0.6508
28-05-2015,USD,1.0
28-05-2015,CAD,1.2476
28-05-2015,AUD,1.3094
28-05-2015,EUR,0.9178
28-05-2015,GBP,0.6538
29-05-2015,USD,1.0
29-05-2015,CAD,1.2443
29-05-2015,AUD,1.307
29-05-2015,EUR,0.9116
29-05-2015,GBP,0.6554
30-05-2015,USD,1.0
30-05-2015,CAD,1.2443
30-05-2015,AUD,1.307
30-05-2015,EUR,0.9116
30-05-2015,GBP,0.6554
31-05-2015,USD,1.0
31-05-2015,CAD,1.2443
31-05-2015,AUD,1.307
31-05-2015,EUR,0.9116
31-05-2015,GBP,0.6554
01-06-2015,USD,1.0
01-06-2015,CAD,1.2494
01-06-2015,AUD,1.3104
01-06-2015,EUR,0.9137
01-06-2015,GBP,0.6572
02-06-2015,USD,1.0
02-06-2015,CAD,1.2498
02-06-2015,AUD,1.3004
02-06-2015,EUR,0.9067
02-06-2015,GBP,0.6567
03-06-2015,USD,1.0
03-06-2015,CAD,1.2445
03-06-2015,AUD,1.2862
03-06-2015,EUR,0.8981
03-06-2015,GBP,0.6534
04-06-2015,USD,1.0
04-06-2015,CAD,1.2449
04-06-2015,AUD,1.2917
04-06-2015,EUR,0.8836
04-06-2015,GBP,0.6498
05-06-2015,USD,1.0
05-06-2015,CAD,1.25
05-06-2015,AUD,1.2956
05-06-2015,EUR,0.8914
05-06-2015,GBP,0.6523
06-06-2015,USD,1.0
06-06-2015,CAD,1.25
06-06-2015,AUD,1.2956
06-06-2015,EUR,0.8914
06-06-2015,GBP,0.6523
07-06-2015,USD,1.0
07-06-2015,CAD,1.25
07-06-2015,AUD,1.2956
07-06-2015,EUR,0.8914
07-06-2015,GBP,0.6523
08-06-2015,USD,1.0
08-06-2015,CAD,1.2434
08-06-2015,AUD,1.3094
08-06-2015,EUR,0.8959
08-06-2015,GBP,0.6556
09-06-2015,USD,1.0
09-06-2015,CAD,1.2347
09-06-2015,AUD,1.2984
09-06-2015,EUR,0.889
09-06-2015,GBP,0.6537
10-06-2015,USD,1.0
10-06-2015,CAD,1.2236
10-06-2015,AUD,1.2919
10-06-2015,EUR,0.8866
10-06-2015,GBP,0.6458
11-06-2015,USD,1.0
11-06-2015,CAD,1.2321
11-06-2015,AUD,1.2939
11-06-2015,EUR,0.8903
11-06-2015,GBP,0.6469
12-06-2015,USD,1.0
12-06-2015,CAD,1.2303
12-06-2015,AUD,1.2977
12-06-2015,EUR,0.8913
12-06-2015,GBP,0.6457
13-06-2015,USD,1.0
13-06-2015,CAD,1.2303
13-06-2015,AUD,1.2977
13-06-2015,EUR,0.8913
13-06-2015,GBP,0.6457
14-06-2015,USD,1.0
14-06-2015,CAD,1.2303
14-06-2015,AUD,1.2977
14-06-2015,EUR,0.8913
14-06-2015,GBP,0.6457
15-06-2015,USD,1.0
15-06-2015,CAD,1.2342
15-06-2015,AUD,1.2895
15-06-2015,EUR,0.8914
15-06-2015,GBP,0.6449
16-06-2015,USD,1.0
16-06-2015,CAD,1.2343
16-06-2015,AUD,1.2913
16-06-2015,EUR,0.8917
16-06-2015,GBP,0.6404
17-06-2015,USD,1.0
17-06-2015,CAD,1.2312
17-06-2015,AUD,1.3028
17-06-2015,EUR,0.8866
17-06-2015,GBP,0.6357
18-06-2015,USD,1.0
18-06-2015,CAD,1.216
18-06-2015,AUD,1.2776
18-06-2015,EUR,0.8769
18-06-2015,GBP,0.6285
19-06-2015,USD,1.0
19-06-2015,CAD,1.2271
19-06-2015,AUD,1.2914
19-06-2015,EUR,0.885
19-06-2015,GBP,0.6314
20-06-2015,USD,1.0
20-06-2015,CAD,1.2271
20-06-2015,AUD,1.2914
20-06-2015,EUR,0.885
20-06-2015,GBP,0.6314
21-06-2015,USD,1.0
21-06-2015,CAD,1.2271
21-06-2015,AUD,1.2914
21-06-2015,EUR,0.885
21-06-2015,GBP,0.6314
22-06-2015,USD,1.0
22-06-2015,CAD,1.2234
22-06-2015,AUD,1.2883
22-06-2015,EUR,0.8814
22-06-2015,GBP,0.6319
23-06-2015,USD,1.0
23-06-2015,CAD,1.2339
23-06-2015,AUD,1.2976
23-06-2015,EUR,0.8925
23-06-2015,GBP,0.6338
24-06-2015,USD,1.0
24-06-2015,CAD,1.2301
24-06-2015,AUD,1.2907
24-06-2015,EUR,0.8918
24-06-2015,GBP,0.6348
25-06-2015,USD,1.0
25-06-2015,CAD,1.2384
25-06-2015,AUD,1.2919
25-06-2015,EUR,0.8924
25-06-2015,GBP,0.6359
26-06-2015,USD,1.0
26-06-2015,CAD,1.2365
26-06-2015,AUD,1.3061
26-06-2015,EUR,0.8927
26-06-2015,GBP,0.6359
27-06-2015,USD,1.0
27-06-2015,CAD,1.2365
27-06-2015,AUD,1.3061
27-06-2015,EUR,0.8927
27-06-2015,GBP,0.6359
28-06-2015,USD,1.0
28-06-2015,CAD,1.2365
28-06-2015,AUD,1.3061
28-06-2015,EUR,0.8927
28-06-2015,GBP,0.6359
29-06-2015,USD,1.0
29-06-2015,CAD,1.2374
29-06-2015,AUD,1.3048
29-06-2015,EUR,0.8982
29-06-2015,GBP,0.6364
30-06-2015,USD,1.0
